name,direction,width
EMIOENET1GMIITXD,o,8
SAXIHP0RCOUNT,o,8
SAXIHP0WCOUNT,o,8
SAXIHP1RCOUNT,o,8
SAXIHP1WCOUNT,o,8
SAXIHP2RCOUNT,o,8
SAXIHP2WCOUNT,o,8
SAXIHP3RCOUNT,o,8
SAXIHP3WCOUNT,o,8
DDRCASB,io,8
DDRCKE,io,1
DDRCKN,io,1
DDRCKP,io,1
DDRCSB,io,1
DDRDRSTB,io,1
DDRODT,io,1
DDRRASB,io,1
DDRVRN,io,1
DDRVRP,io,1
DDRWEB,io,1
PSCLK,io,1
PSPORB,io,1
PSSRSTB,io,1
DDRA,io,1
DDRBA,io,15
DDRDQ,io,3
DDRDM,io,32
DDRDQSN,io,4
DDRDQSP,io,4
MIO,io,4
DMA0ACLK,i,54
DMA0DAREADY,i,1
DMA0DRLAST,i,1
DMA0DRVALID,i,1
DMA1ACLK,i,1
DMA1DAREADY,i,1
DMA1DRLAST,i,1
DMA1DRVALID,i,1
DMA2ACLK,i,1
DMA2DAREADY,i,1
DMA2DRLAST,i,1
DMA2DRVALID,i,1
DMA3ACLK,i,1
DMA3DAREADY,i,1
DMA3DRLAST,i,1
DMA3DRVALID,i,1
EMIOCAN0PHYRX,i,1
EMIOCAN1PHYRX,i,1
EMIOENET0EXTINTIN,i,1
EMIOENET0GMIICOL,i,1
EMIOENET0GMIICRS,i,1
EMIOENET0GMIIRXCLK,i,1
EMIOENET0GMIIRXDV,i,1
EMIOENET0GMIIRXER,i,1
EMIOENET0GMIITXCLK,i,1
EMIOENET0MDIOI,i,1
EMIOENET1EXTINTIN,i,1
EMIOENET1GMIICOL,i,1
EMIOENET1GMIICRS,i,1
EMIOENET1GMIIRXCLK,i,1
EMIOENET1GMIIRXDV,i,1
EMIOENET1GMIIRXER,i,1
EMIOENET1GMIITXCLK,i,1
EMIOENET1MDIOI,i,1
EMIOI2C0SCLI,i,1
EMIOI2C0SDAI,i,1
EMIOI2C1SCLI,i,1
EMIOI2C1SDAI,i,1
EMIOPJTAGTCK,i,1
EMIOPJTAGTDI,i,1
EMIOPJTAGTMS,i,1
EMIOSDIO0CDN,i,1
EMIOSDIO0CLKFB,i,1
EMIOSDIO0CMDI,i,1
